episode,reward,return,hold_actions,buy_actions,sell_actions
262,19643.214333283642,196.6195266014753,734,842,644
263,-2290.9764542316943,-22.909764542316914,762,827,631
264,-1170.4310121208819,-11.648495880586363,734,861,625
265,24072.624657281332,240.72624657281332,736,893,591
266,1345.2391380990593,13.45239138099059,719,848,653
267,2625.4430781477095,26.33423983205434,739,845,636
268,4740.948771264846,47.50266948209294,772,831,617
269,-3060.800554995404,-30.564140877954483,753,824,643
270,-2939.5996483616136,-29.351365665887908,749,858,613
271,18528.60101053815,185.28601010538148,730,868,622
272,6500.239181919591,65.00239181919592,727,840,653
273,26646.22424896354,266.6938937945796,728,853,639
274,51414.06826231292,514.5288985811565,717,839,664
275,34101.03639354701,341.0103639354701,722,850,648
276,-7817.629775568383,-78.16250236691673,723,890,607
277,11017.026160016729,110.30311625670532,747,849,624
278,6867.758897352633,68.78421492040448,761,842,617
279,-3028.407594253924,-30.284075942539168,715,894,611
280,2009.3294709420825,20.169209128995092,729,874,617
281,7911.673466161072,79.1167346616107,741,816,663
282,65854.10025029993,659.020498049088,715,883,622
283,23784.932487662263,238.0628891348405,733,835,652
284,642.3498838883788,6.490772188015903,771,830,619
285,6872.890654482846,68.72890654482846,751,812,657
286,33503.016889647064,335.3051639563445,706,843,671
287,1738.599107813996,17.385991078139963,726,838,656
288,20593.217549499474,205.9321754949947,704,886,630
289,36020.80677079996,360.4989784405927,725,869,626
290,2670.7586668672066,26.707586668672057,715,871,634
291,5582.869339297851,55.92719718405663,742,856,622
292,6673.437612610473,66.73437612610473,725,844,651
293,352.89052558564254,3.594348849278295,721,865,634
294,-4667.97646765797,-46.646059424959006,747,829,644
295,2276.661855746712,22.766618557467112,726,827,667
296,-2244.1979255758724,-22.392952604084513,758,845,617
297,-1399.8407712884455,-13.998407712884454,744,830,646
298,7575.2337105178485,75.75233710517848,739,809,672
299,328.0326977315344,3.280326977315351,715,865,640
300,-4828.785170392483,-48.25516297028377,742,861,617
301,-1163.4040212769214,-11.578181552520107,731,848,641
302,40853.70369758157,408.858497837452,695,848,677
303,877.8573102413065,8.778573102413056,707,858,655
304,16956.036948600446,169.73076633488154,741,792,687
305,28574.312685998724,285.9869661655137,703,862,655
306,1695.3963527044289,17.027893485245094,696,851,673
307,3480.6456820662297,34.806456820662305,741,872,607
308,43311.44280343155,433.1144280343155,708,839,673
309,13940.13190219913,139.4013190219913,770,844,606
310,42895.083510041935,428.95083510041934,765,850,605
311,70.23638704989571,0.7023638704989565,762,814,644
312,44737.028778534695,447.37028778534693,743,821,656
313,1570.604126522836,15.706041265228365,735,862,623
314,6628.756537936464,66.28756537936465,717,845,658
315,1431.3028840302923,14.313028840302922,758,846,616
316,2535.295735848191,25.43219656182636,697,877,646
317,2693.1339274833026,26.93133927483302,703,860,657
318,945.8749229021523,9.458749229021524,760,818,642
319,1622.1987974501044,16.22198797450105,726,837,657
320,4002.05914251998,40.020591425199804,764,830,626
321,6440.080395447614,64.50472642275334,718,841,661
322,117185.08785486859,1172.6548520050194,754,820,646
323,17213.477095198654,172.13477095198652,746,843,631
324,33773.40479787877,338.01075223826035,744,842,634
325,-1762.7542050942957,-17.627542050942925,712,888,620
326,-2795.612487409251,-27.95612487409255,737,858,625
327,3496.1262520111923,35.046575409012284,787,793,640
328,-1846.6800163298085,-18.466800163298068,728,852,640
329,-1786.9745541346747,-17.817828649468648,740,832,648
330,2149.01739213954,21.566971348425223,711,889,620
331,70180.83729311377,702.3152190243198,737,825,658
332,-2349.6241578146783,-23.447881355955445,709,864,647
